Category Name,Sector Rank*,Category Type,Investment (2023-2024),Funded Companies,Unicorns,Investment (2024),H1 2024 % growth,Dealroom Signal,VC growth (2019-2023)
Generative Ai,1,Tags,$64.1B,1432,85,$35B,17%,61,8x
Ai Model Layer,2,Tags,$51.9B,319,53,$28B,5%,68,9x
GenAI Model Maker,3,Tags,$50B,281,49,$26B,−6%,70,13x
GenAI Applications,4,Tags,$15.8B,922,50,$11B,212%,63,3x
Ai Computing Infrastructure,5,Tags,$6.6B,113,12,$5B,463%,68,6x
Grid Technology,6,Tags,$5.4B,233,9,$1B,−41%,65,6x
Carbon Capture And Storage,7,Tags,$3.1B,328,6,$2B,1%,58,6x
Semiconductor Designers And Manufacturers,8,Tags,$22.3B,1188,67,$9B,36%,50,4x
GenAI Operation Layer,9,Tags,$2.3B,106,6,$1B,309%,69,2x
Hydrogen,10,Tags,$6.6B,484,13,$3B,88%,47,9x
Green Buildings,11,Tags,$7.4B,624,17,$2B,−63%,58,6x
Carbon Removal,12,Tags,$1.3B,187,3,$530M,−12%,59,8x
GenAI Computing Layer,13,Tags,$3.8B,14,6,$3B,237%,83,72x
Green Hydrogen,14,Tags,$1.6B,90,2,$585M,9%,64,90x
Artificial Intelligence,15,Technologies,$147.6B,26435,417,$80B,22%,43,2x
Natural Language Processing,16,Technologies,$30.1B,1102,24,$17B,−32%,49,5x
Hydrogen Production,17,Tags,$2.4B,115,3,$1B,49%,63,30x
Electrolysis,18,Tags,$1.3B,62,1,$276M,−41%,63,43x
Carbon Utilisation,19,Tags,$1.7B,104,4,$1B,153%,63,2x
Affordable And Clean Energy (#7),20,SDG,$48.9B,5432,121,$18B,−10%,47,3x
Stationary Energy Storage,21,Tags,$6.6B,283,15,$2B,−3%,58,10x
Building Energy Retrofit,22,Tags,$1.9B,187,3,$436M,−80%,56,7x
Advanced Materials,23,Tags,$6.4B,557,10,$3B,31%,54,3x
Energy » Energy Storage,24,Sub industry,$20.3B,1514,56,$6B,−8%,47,4x
Building Energy Efficiency,25,Tags,$3B,402,6,$772M,−76%,56,5x
Engineering And Manufacturing Equipment,26,Industries,$6.8B,1650,13,$3B,3%,38,2x
Semiconductors,27,Industries,$30B,8256,83,$12B,29%,29,4x
Energy » Clean Energy,28,Sub industry,$24.5B,4712,56,$9B,−13%,38,5x
Mlops,29,Tags,$5.8B,594,19,$3B,108%,63,1x
Industry Innovation And Infrastructure (#9),30,SDG,$12B,2009,23,$5B,41%,49,2x
Ai Safety,31,Tags,$1.5B,27,2,$1B,112%,70,1x
Heat Pump,32,Tags,$1.1B,79,1,$263M,−86%,53,26x
Sustainable Building Construction,33,Tags,$3.5B,187,3,$908M,3%,55,9x
In-Space Operations,34,Tags,$1.6B,171,3,$531M,−42%,52,17x
Quantum Technologies,35,Technologies,$3.4B,358,8,$2B,19%,48,3x
Shipbuilding And Refit,36,Tags,$1.1B,110,1,$459M,−28%,56,19x
Thermal Energy Storage,37,Tags,$926.2M,49,0,$628M,980%,59,23x
Quantum Computing,38,Tags,$3.1B,164,6,$2B,25%,57,3x
Quantum Computers And Processors,39,Tags,$2.1B,79,5,$1B,243%,62,2x
Defence,40,Tags,$4.7B,319,9,$3B,−61%,44,5x
Energy,41,Industries,$62.7B,25384,146,$25B,−17%,32,2x
Blue Economy,42,Tags,$4.2B,986,5,$2B,−28%,50,2x
Photonics Tech,43,Tags,$3.4B,305,9,$2B,55%,54,2x
Hardware,44,Technologies,$92.6B,13553,294,$43B,49%,40,2x
Climate Tech,45,Tags,$82.4B,12929,239,$32B,−11%,47,2x
Biodiversity,46,Tags,$892.5M,209,1,$430M,−50%,52,10x
Deep Learning,47,Technologies,$32.6B,1656,36,$19B,−12%,48,2x
